username;lotacao;valor;beneficiario;timestamp
ACOWL;AAVDJ;177664.56;64.562.616/3644-16;30/01/2025 03:48
ACOWL;AAVDJ;281144.84;05.396.153/1097-19;25/09/2025 13:41
ACOWL;AAVDJ;478734.29;12.663.157/1313-61;17/03/2025 12:55
ACOWL;AAVDJ;1781637.56;17.729.268/9652-80;28/04/2025 17:46
ACOWL;AAVDJ;900408.94;62.834.658/7517-12;29/09/2025 17:58
ACOWL;AAVDJ;1030707.33;45.482.369/2848-07;27/01/2025 19:36
ACOWL;AAVDJ;555919.69;40.627.975/4575-33;24/04/2025 18:48
ACOWL;AAVDJ;1165471.92;83.501.983/0946-43;08/08/2025 18:27
ACOWL;AAVDJ;29916.17;17.170.674/7255-30;20/07/2025 00:54
ACOWL;AAVDJ;835173.87;60.805.746/8241-56;31/01/2025 21:10
ACOWL;AAVDJ;1998371.15;07.685.626/8638-35;10/06/2025 01:26
ACOWL;AAVDJ;236775.12;28.612.855/1952-60;27/07/2025 07:13
ACOWL;AAVDJ;610440.18;29.964.150/7654-70;27/09/2025 05:14
ACOWL;AAVDJ;272975.88;79.886.652/9576-59;24/03/2025 15:45
ACOWL;AAVDJ;1720094.61;99.845.268/2978-52;04/07/2025 09:30
ACOWL;AAVDJ;890457.32;46.373.703/8305-17;17/09/2025 11:27
ACOWL;AAVDJ;1687242.58;35.525.291/4035-80;26/01/2025 08:09
ACOWL;AAVDJ;380188.17;66.761.052/5460-78;12/07/2025 16:12
ACOWL;AAVDJ;955444.79;62.813.363/2917-42;19/08/2025 19:26
ACOWL;AAVDJ;345067.22;61.931.102/8045-75;13/07/2025 07:41
ACOWL;AAVDJ;245503.12;94.585.306/7037-97;30/04/2025 11:49
ACOWL;AAVDJ;1099136.03;34.100.571/2708-42;30/04/2025 08:38
ACOWL;AAVDJ;136427.54;31.892.808/3484-01;11/01/2025 15:39
ACOWL;AAVDJ;863154.16;69.564.017/2932-56;06/06/2025 16:33
ACOWL;AAVDJ;1907945.75;91.100.506/5362-06;22/02/2025 05:15
ACOWL;AAVDJ;1700963.49;36.502.642/6527-10;24/01/2025 15:09
ACOWL;AAVDJ;1169269.59;30.931.942/4784-45;29/07/2025 13:14
ACOWL;AAVDJ;812835.63;98.403.391/2283-79;20/07/2025 10:37
ACOWL;AAVDJ;1427659.74;94.420.175/6829-36;28/04/2025 23:36
ACOWL;AAVDJ;1587972.65;46.328.066/5618-09;31/05/2025 15:05
ACOWL;AAVDJ;871768.1;58.924.638/7770-55;11/06/2025 04:20
ACOWL;AAVDJ;1990370.85;80.235.959/6755-09;18/01/2025 23:15
ACOWL;AAVDJ;559588.84;49.766.691/0928-12;09/09/2025 01:44
ACOWL;AAVDJ;888895.63;88.393.097/2996-33;15/08/2025 18:50
ACOWL;AAVDJ;628211.89;05.569.670/5907-85;10/05/2025 10:57
ACOWL;AAVDJ;1530144.68;34.100.571/2708-42;29/07/2025 08:11
ACOWL;AAVDJ;340313.84;27.521.450/4471-64;18/05/2025 16:29
ACOWL;AAVDJ;1952537.92;86.714.800/8947-86;28/07/2025 03:49
ACOWL;AAVDJ;1187643.7;91.100.506/5362-06;12/09/2025 03:16
ACOWL;AAVDJ;955685.31;72.739.040/0981-10;22/01/2025 08:41
ACOWL;AAVDJ;1768683.9;55.071.623/7387-90;01/01/2025 09:31
ACOWL;AAVDJ;163078.2;77.769.311/8944-98;10/05/2025 20:27
ACOWL;AAVDJ;1031269.33;12.663.157/1313-61;16/03/2025 06:27
ACOWL;AAVDJ;404063.06;06.310.637/8920-37;21/09/2025 16:22
ACOWL;AAVDJ;614039.35;94.585.306/7037-97;03/03/2025 12:10
ACOWL;AAVDJ;1261378.79;07.417.078/2965-00;25/03/2025 08:50
ACOWL;AAVDJ;576717.11;77.115.068/1271-32;23/07/2025 13:27
ACOWL;AAVDJ;402539.14;99.095.208/6131-09;09/03/2025 21:52
ACOWL;AAVDJ;510889.87;21.618.019/6951-31;20/06/2025 11:09
ACOWL;AAVDJ;665880.6;19.537.060/7912-89;15/04/2025 08:39
ACOWL;AAVDJ;1211126.58;52.283.781/8716-37;15/08/2025 14:48
ACOWL;AAVDJ;1052079.5;55.071.623/7387-90;29/05/2025 23:26
ACOWL;AAVDJ;1508098.04;24.978.047/5002-41;09/03/2025 12:07
ACOWL;AAVDJ;1899185.84;08.473.755/8220-42;28/07/2025 09:18
ACOWL;AAVDJ;546716.75;27.279.429/5184-84;17/04/2025 08:31
ACOWL;AAVDJ;778934.53;64.558.556/5071-61;17/01/2025 18:19
ACOWL;AAVDJ;1859186.22;15.527.147/5657-10;05/09/2025 10:46
ACOWL;AAVDJ;1535926.32;13.763.929/2759-97;03/08/2025 16:37
ACOWL;AAVDJ;1855593.92;78.389.468/2930-23;12/08/2025 14:02
ACOWL;AAVDJ;247765.32;54.500.293/7460-91;06/07/2025 04:53
ACOWL;AAVDJ;1921428.17;99.246.053/8017-50;26/08/2025 17:45
ACOWL;AAVDJ;226373.72;07.942.071/1397-46;26/03/2025 20:29
ACOWL;AAVDJ;1512889.23;33.034.261/9912-00;01/01/2025 08:04
ACOWL;AAVDJ;1442676.01;48.739.356/8584-58;13/07/2025 19:41
ACOWL;AAVDJ;446576.94;94.585.306/7037-97;04/04/2025 10:28
ACOWL;AAVDJ;175038.09;51.660.114/2110-60;01/06/2025 09:42
ACOWL;AAVDJ;224075.74;17.170.674/7255-30;01/06/2025 13:48
ACOWL;AAVDJ;513087.7;76.751.306/2140-28;01/05/2025 19:27
ACOWL;AAVDJ;571782.4;51.296.576/3740-03;16/09/2025 14:18
ACOWL;AAVDJ;148631.38;98.654.093/1268-69;26/05/2025 09:57
ACOWL;AAVDJ;677888.44;73.799.031/7143-25;29/03/2025 09:34
ACOWL;AAVDJ;592621.8;17.170.674/7255-30;05/05/2025 01:49
ACOWL;AAVDJ;1445904.72;34.100.571/2708-42;29/08/2025 02:03
ACOWL;AAVDJ;1255719.85;87.342.526/5131-94;02/05/2025 03:51
ACOWL;AAVDJ;1044410.64;12.480.505/2616-50;06/01/2025 02:56
ACOWL;AAVDJ;471942.17;65.647.201/8693-64;08/05/2025 20:26
ACOWL;AAVDJ;1202623.81;34.100.571/2708-42;28/06/2025 07:38
ACOWL;AAVDJ;400293.85;17.170.674/7255-30;25/02/2025 09:18
ACOWL;AAVDJ;432361.24;17.515.794/0148-55;08/05/2025 03:53
ACOWL;AAVDJ;1898407.88;51.296.576/3740-03;19/06/2025 10:04
ACOWL;AAVDJ;734425.04;98.363.814/0074-40;23/02/2025 20:43
ACOWL;AAVDJ;1180142.15;65.647.201/8693-64;14/07/2025 14:02
ACOWL;AAVDJ;1303927.79;12.480.505/2616-50;31/03/2025 18:41
ACOWL;AAVDJ;1852947.03;38.119.097/1565-60;05/02/2025 17:44
ACOWL;AAVDJ;451883.91;27.279.429/5184-84;21/08/2025 05:10
ACOWL;AAVDJ;1464081.29;98.403.391/2283-79;13/04/2025 01:56
ACOWL;AAVDJ;1237229.08;02.462.310/3983-35;22/04/2025 04:07
ACOWL;AAVDJ;1168403.69;33.103.006/5527-74;24/04/2025 15:11
ACOWL;AAVDJ;1696623.38;77.769.311/8944-98;08/04/2025 10:40
ACOWL;AAVDJ;1111418.41;13.360.106/8513-34;10/03/2025 10:06
ACOWL;AAVDJ;1157223.44;00.635.952/3587-36;01/02/2025 12:47
ACOWL;AAVDJ;1769079.67;54.990.723/7151-11;14/08/2025 10:19
ACOWL;AAVDJ;766744.92;64.284.049/5602-31;04/08/2025 01:52
ACOWL;AAVDJ;714840.39;33.081.976/2579-86;03/09/2025 22:48
ACOWL;AAVDJ;80575.74;22.363.392/2702-23;12/04/2025 16:53
ACOWL;AAVDJ;491546.33;00.635.952/3587-36;14/06/2025 11:46
ACOWL;AAVDJ;848331.78;54.990.723/7151-11;10/05/2025 17:16
ACOWL;AAVDJ;1159489.9;31.892.808/3484-01;05/09/2025 22:12
ACOWL;AAVDJ;1651968.4;78.389.468/2930-23;08/04/2025 17:14
ACOWL;AAVDJ;1159698.54;48.739.356/8584-58;27/02/2025 16:55
ACOWL;AAVDJ;522220.72;40.627.975/4575-33;09/07/2025 16:25
ACOWL;AAVDJ;1054490.3;66.344.754/4179-14;25/04/2025 09:52
ACOWL;AAVDJ;791528.58;78.186.553/7618-88;24/03/2025 18:57
ACOWL;AAVDJ;618237.11;99.303.679/4386-57;16/08/2025 12:26
ACOWL;AAVDJ;1181457.03;36.952.069/1891-84;12/05/2025 22:34
ACOWL;AAVDJ;1440053.39;90.525.401/7364-05;09/08/2025 23:07
ACOWL;AAVDJ;540772.77;01.688.417/9976-36;09/04/2025 14:37
ACOWL;AAVDJ;628240.78;67.357.563/9022-20;03/08/2025 00:03
ACOWL;AAVDJ;1274161.21;66.895.153/6842-64;09/04/2025 07:37
ACOWL;AAVDJ;276651.47;88.422.438/1001-62;24/05/2025 15:05
ACOWL;AAVDJ;1644855.03;77.424.829/1641-73;09/07/2025 14:36
ACOWL;AAVDJ;171557.54;64.643.239/0798-34;21/07/2025 20:55
ACOWL;AAVDJ;920671.98;99.303.679/4386-57;13/03/2025 14:34
ACOWL;AAVDJ;1435232.94;83.501.983/0946-43;20/04/2025 01:12
ACOWL;AAVDJ;549232.33;52.857.878/5550-11;11/02/2025 11:12
ACOWL;AAVDJ;73347.32;28.612.855/1952-60;01/07/2025 15:49
ACOWL;AAVDJ;595208.77;69.564.017/2932-56;25/05/2025 00:13
ACOWL;AAVDJ;1562523.31;36.952.069/1891-84;16/03/2025 08:26
ACOWL;AAVDJ;1120210.08;51.147.249/7233-53;10/02/2025 10:03
ACOWL;AAVDJ;348810.96;99.303.679/4386-57;22/06/2025 20:14
ACOWL;AAVDJ;900126.16;48.944.558/0824-50;05/02/2025 08:03
ACOWL;AAVDJ;235453.95;47.768.754/5283-08;15/02/2025 17:03
ACOWL;AAVDJ;232151.39;99.095.208/6131-09;28/03/2025 22:21
ACOWL;AAVDJ;1894749.95;18.308.513/8350-35;27/05/2025 14:07
ACOWL;AAVDJ;1318998.36;38.119.097/1565-60;11/09/2025 10:00
ACOWL;AAVDJ;301140.28;38.119.097/1565-60;05/07/2025 10:45
ACOWL;AAVDJ;287979.79;88.393.097/2996-33;07/01/2025 06:00
ACOWL;AAVDJ;1094264.69;54.714.337/7021-19;26/02/2025 03:59
ACOWL;AAVDJ;1073252.6;02.515.465/1260-40;11/06/2025 04:30
ACOWL;AAVDJ;173622.8;98.403.391/2283-79;26/08/2025 02:00
ACOWL;AAVDJ;19442.03;48.861.897/3000-54;24/08/2025 10:23
ACOWL;AAVDJ;820253.55;40.210.131/2355-06;06/02/2025 11:02
ACOWL;AAVDJ;1716783.33;72.739.040/0981-10;25/07/2025 01:17
ACOWL;AAVDJ;1792442.78;69.870.023/8157-00;30/03/2025 22:09
ACOWL;AAVDJ;570349.06;94.585.306/7037-97;04/03/2025 22:58
ACOWL;AAVDJ;1090422.27;58.924.638/7770-55;18/07/2025 06:02
ACOWL;AAVDJ;33848.83;11.578.768/1977-90;20/04/2025 17:59
ACOWL;AAVDJ;990299.08;90.428.450/0169-23;10/01/2025 12:05
ACOWL;AAVDJ;60384.82;99.303.679/4386-57;14/04/2025 18:04
ACOWL;AAVDJ;1757018.7;99.455.748/9781-62;13/08/2025 20:09
ACOWL;AAVDJ;1960696.94;54.500.293/7460-91;08/06/2025 12:36
ACOWL;AAVDJ;1043162.88;78.065.047/1978-38;13/08/2025 12:11
ACOWL;AAVDJ;1341908.49;58.924.638/7770-55;20/07/2025 09:44
ACOWL;AAVDJ;93091.62;58.808.146/7221-00;26/09/2025 18:53
ACOWL;AAVDJ;764595.51;54.714.337/7021-19;19/02/2025 06:22
ACOWL;AAVDJ;1735302.53;73.799.031/7143-25;20/09/2025 10:38
ACOWL;AAVDJ;485486.83;66.761.052/5460-78;15/02/2025 09:27
ACOWL;AAVDJ;380279.88;40.627.975/4575-33;01/01/2025 23:14
ACOWL;AAVDJ;1124584.38;61.936.798/3968-15;30/04/2025 02:13
ACOWL;AAVDJ;280448.28;76.663.239/3476-42;13/01/2025 05:46
ACOWL;AAVDJ;1663031.14;84.250.770/0143-02;27/06/2025 03:11
ACOWL;AAVDJ;690025.05;61.936.798/3968-15;27/05/2025 06:52
ACOWL;AAVDJ;206282.87;32.864.182/5209-96;12/07/2025 00:02
ACOWL;AAVDJ;1120193.77;99.303.679/4386-57;01/08/2025 06:30
ACOWL;AAVDJ;467513.79;00.635.952/3587-36;26/07/2025 06:45
ACOWL;AAVDJ;1526388.23;69.564.017/2932-56;04/03/2025 10:03
ACOWL;AAVDJ;902032.48;67.946.819/5733-11;13/06/2025 17:40
ACOWL;AAVDJ;1717681.79;46.328.066/5618-09;02/06/2025 02:17
ACOWL;AAVDJ;187313.41;41.582.107/5676-44;13/01/2025 13:14
ACOWL;AAVDJ;1963958.16;17.170.674/7255-30;22/07/2025 08:40
ACOWL;AAVDJ;943283.15;48.739.356/8584-58;17/04/2025 18:50
ACOWL;AAVDJ;1864362.68;77.251.086/9704-34;15/02/2025 14:31
ACOWL;AAVDJ;1921277.06;99.246.053/8017-50;17/09/2025 23:45
ACOWL;AAVDJ;1792057.13;38.119.097/1565-60;24/08/2025 16:01
ACOWL;AAVDJ;123094.1;21.618.019/6951-31;01/02/2025 22:39
ACOWL;AAVDJ;674884.77;76.663.239/3476-42;03/06/2025 11:55
